"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","i","long","lat","from","to","party_area"
"RT @MikeRossUK: Don't forget it was the government who falsely demonised diesels after #Brown promoted their sales as cleaner option. It ha…",FALSE,0,NA,2020-01-06 17:20:21,FALSE,NA,"1214235265931329539",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Carol01115190",1,TRUE,FALSE,NA,NA,1,52.4209394716,-1.51255488177,"2020-01-06","2020-01-07","Labour"
"Don't forget it was the government who falsely demonised diesels after #Brown promoted their sales as cleaner optio… https://t.co/AgVbtcQxd9",FALSE,2,NA,2020-01-06 17:18:11,TRUE,NA,"1214234719799382018",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","MikeRossUK",1,FALSE,FALSE,NA,NA,1,52.4209394716,-1.51255488177,"2020-01-06","2020-01-07","Labour"
"Love how everyone thinks #Brexit is done. Lol.",FALSE,1,NA,2020-01-06 20:27:03,FALSE,NA,"1214282252340862977",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","uxthom",0,FALSE,FALSE,NA,NA,1,54.960267109,-1.55747301052,"2020-01-06","2020-01-07","Labour"
"If #Brexit hadn't already fucked our country up this will lmao

#BorisJohnson #WorldWarThree #WWIll #DonaldTrump https://t.co/U1lctCmEyg",FALSE,0,NA,2020-01-06 18:56:37,FALSE,NA,"1214259490465501185",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","parkjihyosjugs",0,FALSE,FALSE,NA,NA,1,54.626449127,-1.25876126917,"2020-01-06","2020-01-07","Labour"
