text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,i,long,lat,from,to,party_area
"RT @BBCBreakfast: Sonja is 84 years old and battling cancer <U+0001F622>
She's had to fight for the right to stay in the country after #Brexit...even…",FALSE,0,NA,09/01/2020 23:06,FALSE,NA,1.22E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",mikeonthemarne,510,TRUE,FALSE,NA,NA,1,53.47416465,-2.354470149,09/01/2020,10/01/2020,Labour
Now the SNP know exactly how we felt every time they kept blocking anything #Brexit. Roll on 31st January. Big cele… https://t.co/SLrO70oVab,FALSE,0,NA,09/01/2020 17:56,TRUE,NA,1.22E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",XxGLAMMAxX,0,FALSE,FALSE,NA,NA,1,53.76443553,-0.328889706,09/01/2020,10/01/2020,Labour
@lucianaberger How sad this is. I (and a colleague) took a group of Sixth Formers on a Swedish exchange using this… https://t.co/AjLvxwm8vZ,FALSE,1,lucianaberger,09/01/2020 09:53,TRUE,1.22E+18,1.22E+18,20992801,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Ianod64,0,FALSE,FALSE,NA,NA,1,53.76443553,-0.328889706,09/01/2020,10/01/2020,Labour
Agreed but are you sure it wasnt because of #Brexit <U+0001F609> https://t.co/vdYrJVrpkO,FALSE,0,NA,09/01/2020 00:00,FALSE,NA,1.22E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",XxGLAMMAxX,0,FALSE,FALSE,NA,NA,1,53.76443553,-0.328889706,09/01/2020,10/01/2020,Labour
"RT @SBranno: Can’t believe how in denial @labourlewis is about why @UKLabour lost the gen election on #andrewneilshow 
How can he could win…",FALSE,0,NA,09/01/2020 01:14,FALSE,NA,1.22E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Mohamad51255680,7,TRUE,FALSE,NA,NA,1,54.62644913,-1.258761269,09/01/2020,10/01/2020,Labour
...but absolutely delighted that it's almost done #Brexit,FALSE,2,luffers70,09/01/2020 17:49,FALSE,1.22E+18,1.22E+18,7.25E+17,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",luffers70,1,FALSE,FALSE,NA,NA,1,51.56272892,-2.995149983,09/01/2020,10/01/2020,Labour
I bet my MP Ruth Jones @labour voted against it even though her constituency is leave #Brexit @matthewevansnpt… https://t.co/NKXpYx6SFR,FALSE,3,NA,09/01/2020 17:39,TRUE,NA,1.22E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",luffers70,0,FALSE,FALSE,NA,NA,1,51.56272892,-2.995149983,09/01/2020,10/01/2020,Labour
Looking forward to attending and speaking at the AoC Funding Conference in London on Wednesday on #Brexit Readiness… https://t.co/Ca57sRKAUB,FALSE,0,NA,09/01/2020 15:58,TRUE,NA,1.22E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",CenturiononVAT,1,FALSE,FALSE,NA,NA,1,51.56272892,-2.995149983,09/01/2020,10/01/2020,Labour
@SirSocks Not this #Brexit obsession with fish again. Just five families on the Sunday Times Rich List hold or cont… https://t.co/ORhSx6E0Xm,FALSE,1,SirSocks,09/01/2020 22:11,TRUE,1.22E+18,1.22E+18,127360173,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",StickMan_v7,0,FALSE,FALSE,NA,NA,1,51.55105846,-0.266692997,09/01/2020,10/01/2020,Labour
"Erasmus: What could happen to scheme after Brexit? - BBC News

Proof positive that #Brexit is nothing more than int… https://t.co/JoOgwtXmME",FALSE,0,NA,09/01/2020 16:20,TRUE,NA,1.22E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Stuart1642,0,FALSE,FALSE,NA,NA,1,52.42093947,-1.512554882,09/01/2020,10/01/2020,Labour
