text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,i,long,lat,from,to,party_area
@BenHolloway79 @PaulSte67312330 @rachaelvenables @LBC The way the situation was handled was atrocious to say the le… https://t.co/Pv62YgFR6g,FALSE,0,BenHolloway79,07/01/2020 21:34,TRUE,1.21465E+18,1.21466E+18,2663813837,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Louiza_9,0,FALSE,FALSE,NA,NA,1,51.55105846,-0.266692997,07/01/2020,08/01/2020,Labour
"As Fawlty would say after another disaster, \oh  bloody spiffing!\"" We're waving goodbye to #FOM in the #EU but the… https://t.co/36y86Rq0nP""",FALSE,0,NA,07/01/2020 14:22,TRUE,NA,1.21455E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Marcoloe,0,FALSE,FALSE,NA,NA,1,51.55105846,-0.266692997,07/01/2020,08/01/2020,Labour
"@mattm1981 You'll have a bloody long wait! But you are lucky really.  If Keir Starmer wins and has an off day, just… https://t.co/357V6st8Wb",FALSE,0,mattm1981,07/01/2020 21:01,TRUE,1.21465E+18,1.21465E+18,7.15024E+17,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",angelneptustar,0,FALSE,FALSE,NA,NA,1,51.56596085,-0.121803692,07/01/2020,08/01/2020,Labour
"#RebeccaLongBailey blames TorySM for #Corbyn failure. Not true. We told truth.
Vicious MOMENTUM fought filthiest tw… https://t.co/drWjYpeP9X",FALSE,4,NA,07/01/2020 20:48,TRUE,NA,1.21465E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",angelneptustar,1,FALSE,FALSE,NA,NA,1,51.56596085,-0.121803692,07/01/2020,08/01/2020,Labour
People who voted for #Brexit voted for us to be closely aligned with Brussels regulations whilst removing our say i… https://t.co/bPOeYR58Iv,FALSE,0,NA,07/01/2020 15:40,TRUE,NA,1.21457E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Andrew70265613,0,FALSE,FALSE,NA,NA,1,51.56596085,-0.121803692,07/01/2020,08/01/2020,Labour
Here we go johnson putting the #XToryparty Bandwagon and its promises into reverse expect #Brexit Leaving date to b… https://t.co/5qhjfdmVZY,FALSE,1,NA,07/01/2020 12:36,TRUE,NA,1.21453E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",3Heckmonwyke,0,FALSE,FALSE,NA,NA,1,51.56596085,-0.121803692,07/01/2020,08/01/2020,Labour
"RT @amnediel: Always great to do the weekly shop. Remember I told you about life <U+0001F3EA>. 

Stay sharp lads #brexit #baller @ Anlaby https://t.co…",FALSE,0,NA,07/01/2020 15:37,FALSE,NA,1.21457E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",shibuiproject,10,TRUE,FALSE,NA,NA,1,53.76443553,-0.328889706,07/01/2020,08/01/2020,Labour
"RT @amnediel: Always great to do the weekly shop. Remember I told you about life <U+0001F3EA>. 

Stay sharp lads #brexit #baller @ Anlaby https://t.co…",FALSE,0,NA,07/01/2020 15:37,FALSE,NA,1.21457E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",lbsallycinnamon,10,TRUE,FALSE,NA,NA,1,53.76443553,-0.328889706,07/01/2020,08/01/2020,Labour
"RT @amnediel: Always great to do the weekly shop. Remember I told you about life <U+0001F3EA>. 

Stay sharp lads #brexit #baller @ Anlaby https://t.co…",FALSE,0,NA,07/01/2020 15:36,FALSE,NA,1.21457E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",musicmoneysarah,10,TRUE,FALSE,NA,NA,1,53.76443553,-0.328889706,07/01/2020,08/01/2020,Labour
"RT @amnediel: Always great to do the weekly shop. Remember I told you about life <U+0001F3EA>. 

Stay sharp lads #brexit #baller @ Anlaby https://t.co…",FALSE,0,NA,07/01/2020 15:36,FALSE,NA,1.21457E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",SexyDJdrops,10,TRUE,FALSE,NA,NA,1,53.76443553,-0.328889706,07/01/2020,08/01/2020,Labour
