"","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"11","prince the rainbow children 1 1 1 is 3 if u ai not got no place 2 stay come on baby  round this way  stay with me baby but let me tell u how it gonna b  there a theocratic order  there a theocratic order now  this is how it gonna b if u wanna b with me  ai not no room 4 disagree 1 1 1 is 3  take ur tie and think it thru if this is what u wanna do  i ai not really that hard 2 please cuz 1 1 1 is 3  stroke ur hair a hundred times let me c what i can find  d u know about the order  do u know about the order  now   the banished ones    we are the banished ones and we have come 2 dance  if u will not let us  we will have 2 kick ur pants    who that knockin  on the door  did not we throw u out b4   i am  bout 2 get rowdy  i am  bout 2 get rowdy  now   make me wanna do something   we could b surrounded in the palace   everybody wants 2 get u   i do not care  how many y all just came 2 dance   let me c u shake ur pants we do not give a duck what u got on  u just need 2 work that sexy body all nite long come on  where them banished ones at   said they  round the back   do not cut  em no slack  i am gon  tap  tap  tap   but should i keep this party going   brotha u know that    moneyapolis  sing rainbow children  raise ur hands  if we can not do it  nobody can   here they come y all rally  round the palace now  u know what we got 2 do   how would that fool get up in here   snagglevoice ","111 is 3",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"12","called you yesterday you did not answer your phone the main drag is knowing that you probably were not alone so here i sit in my lonely room lookin  for my sunshine but all i have got is two cigarettes and this broken heart of mine so let the rain come down the rain come down let the rain come down  down let the rain come down the rain come down let the rain come down  down you have been gone 17 days 17 long nights the main drag is knowing that you are holding someone else tight i wanna to call you everyday and beg you to be near me but i know your head is underwater i doubt that you could hear me so let the rain come down the rain come down let the rain come down  down let the rain come down the rain come down let the rain come down  down ha  ha ha ha ha ha ha ha ha ha 17 days ha  ha ha ha ha ha ha ha ha ha 17 days called you yesterday you did not answer your phone if you are the one who always lonely then i am the one who always alone so here i sit in my lonely room lookin  for my sunshine all i have got is two cigarettes and this broken heart of mine let the rain come down the rain come down let the rain come down  down let the rain come down the rain come down let the rain come down  down let the rain come down the rain come down let the rain come down  down    why do not you answer your phone   let the rain come down the rain come down let the rain come down  down 17 days let the rain come down the rain come down let the rain come down  down 17 days","17 days",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"13","prince miscellaneous 1 800 new funk ad welcome 2 the dawn 2 experience love4oneanother on the internet access www love4oneanother com open your mind there is not much time 2 experience npg merchandise and music access www 1800newfunk com and by phone just dial 1 800 new funk if you live outside the united states please dial 612 474 17 51 call now before i start laughing ha ha ha ha ha   ","1800new funk ad",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"14","serve it up  frankie this is precisely what i intend to do  honey honey  do you know  i let robert cut my hair this morning   honey  look at this one here   i am lookin  joe  tryin  to see  oh girl  where would you get those shoes  you know he had me lookin  so bad  honey  she so free  i am so tired these are   come and   me  pumps  who  robert   maurice thinks  mmm  i think that right  honey  go on up to her  say something maurice  what  what can i serve you   you mean he male   baby  i swear to god if you do not kiss  em i am gonna kick your super natural ass frankie  play something     squirrel meat  uh  do not try it cat  what happenin   babe      would you play something   get outta my face  honey  it not that type of party   talk to me  talk to me  do you remember me   what cha mean   honey  he could teach you the answer to life  honey  you see these pumps       answer  honey  you ai not gonna quit  i wanna  i wanna  who you callin     ho    i want you to meet some friends of mine      frankie  play somethin       who you callin  ho    black ho    no  no  you will like them they are  they are musicians 2 nigs united 4 west compton 2 nigs united 4 west compton","2 nigs united 4 west compton",1994,"Black Album",NA,NA,NA,"1990s","Uncharted","Uncharted"
"15","2 whomever it may concern you must come to your senses there are no kings on this earth only princes my name is prince and i am funky the new power generation has just taken control you sexy   introducing mayte  hello darling tony m  kirky j and damon d i wanna be loved to the nine  to the nine sonny t  tell us where the party be the max  yes the max  yes tommy barbarella likes it in the dark but we like a blue light tommy barabarella likes it in the dark but we like a blue light and she do not stop i got seven hours baby  so what you wanna do  ooh  and she do not stop levi  michael b and me  we get funky continental   the dj   you what the name of this game  pimp rag  tootsie pop and a cane ow  and she do not stop god created woman temptation  sweet and so much i surely die if my baby will not  he touch neither one of us shall he touch do not touch that radio do not touch that radio do not touch that all seven and we will watch then learn and if you try to stop us  we will burn we will  we will burn if you try to stop us  we will burn we will  we will burn what is sacrifice  what is sacrifice  hold the text  deacon hold the text  deacon ca not nobody stop  if they step  they drop the funky new album entitled o    from prince and the new power generation on paisley park  warner brothers cd and cassettes we out","2 whom it may concern",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"16","every man that meets her wants 2 give her his name she 2 hot 4 words   2 wise 2 tame she got knee high boots   e o lectric hair born 2 b a rock star eye swear she got 9 lives   a couple more 2 spare old enough 2 do ya but 2 young 2 dare she got a kick drum brain full o  technology but just enuff old school 2 know where the party b talks about the top as if she always been there a member of the  chosen few rarified heirs  her legs so long she never climbs stairs she old enuff 2 do ya but 2 young 2 dare 2 young 2 young 2 dare   yeah  2 young 2 young 2 dare  2 fine 4 idol 2 smart 4 the x factor internet beauty everybody wanna hack her  the world can only wonder right up until they hear the juicy gossip that in her will till then we can just pretend that she old enuff 2 do ya  but she just 2 young 2 dare 2 young 2 dare","2 y 2 d",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"17","prince batman 200 balloons 200 balloons  controversy music  ascap   1989   us flipside to batdance               who gonna stop 200 balloons  nobody let do it 25 policemen all in a row ca not stop the party people   go go go if u can not beat  em join  em baby say so it party time everybody come on lets go fly with me 200 balloons    let do it  blowing down the city colder than ice i think u better love me  cuz i am really kind of nice if u do me once girl u have 2 do me twice wave your hand if u wanna party tonight come on everybody 200 balloons everybody sing it fly with me    let do it  come on baby fly with me  let do it  fly with me    let do it  come on baby fly with me i will buy u love if i got 200 balloons    let do it  tell me that u love me and i will buy u a fancy car i made u a couple of times and so u made me a star so take me 4 what i am worth  love me 4 what i are  do  do  the partyman  i take u way far come on y all 200 balloons who gonna stop 200 balloons  nobody let do it let do it let do it let do it it party time y all 200 balloons  do it  do not stop me now  do it  poet   my life has just begun  do it  rave  unto the joy y all  do it  the only one do not try to stop me  do it  fly with me    do it    do it 200 do it 200 do it  fly with me come on fly with me it party time y all 200 balloons  let do it  200 balloons  let do it     fly with me  200 balloons let do it let do it hey  its been good  fly fly fly with me    200 balloons  come on baby fly with me  let do it  fly with me 200 balloons  let do it  who gonna stop 200 balloons  nobody let do it           get  do it  do it  get your house in order  do it  do it  get your      get your      200 balloons  get your house in  get your house in get your hou   get your  get get get get  fly   oh yeah  your house in order fly with me    200  let do it get your house in order 200 balloons  get your  get your    let do it  turn your heads to the east i will be coming from the west ai not no stoppin  me baby  cause i am the best   200  cry cry cry i love it when u moan this funk will cut so deep gonna touch your soul  oh  200 balloons   do it  do it  do it  do it  my funk is multilayered   i just  do not stop me now   i just  i got a fever pumpin  do not stop me now i will make love to u   i just   ai not day   sea to sea   i just  i got a warehouse full of protection  2 times good lord  200 balloons  i wanna be your  rave  busy bee i will be your busy bee come on queen     rave  200  200  rave  200 balloons   let do  let  let do it   rave  fly with me   fly with me  200   rave   200  fly with me    200  let do it  balloons  rave  unto the joy fantastic  rave  let do it        who gonna stop 200 balloons  nobody","200 balloons",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"18","how can a non musician discuss the future of music from anything other than a consumer point of view  these people make decisions for the bulk of us without consulting any of us sales and distributions of our futures if this world were fair and right they would give up the car keys this very night    hit it 2  3  4  5  6  7 flash forward  2045 what did you stand for in the life of your prime when faced with the final judgment of today who profited from the game that you and your  as play radical man  save a life come on  take a stand  give that money back let make a plan  the brand new currency taking care of one another you and me radical  radical flash backward  1999 in a world shockful of viruses how would y all stay alive  depending on this so called man for everything you got comes from his hand food  water  the clothes you wear how many of y all  as really care  we do not care let define this word   a someone who stays high watching their life go by someone content with riding it behind   a they come in all colors  white  black  puerto rican but the main  as we speakin   bout wear suits and buy and sell corporations with only one thing in mind break it up that is the destruction of the so called radical man by 2045 let get radical let get radical watch me now schooled in the art of digital games when the war broke out they called your name everyone of color put on the front line holocaust avenue  2009 get an education  good job  who says  fool with the gold fronts drinkin  alize they do not play by the rules makin  no sense today gotcha on line so you think it okay better built cell block  mos def say that where you gonna stay   a where you gonna stay   a  oh my god  it the green mile radical  radical man radical  radical man radical  radical man radical man what up  y all  what y all wanna do  ai not nobody up in that crew know how to really run that computer and make it flow if you ai not born with it you know  talkin  about the to and fro  hit me come on  you know way down what george say  fall around  alright we claim miles davis  not michaelangelo we playin  d flat in the funk you better act like you know we do not care what albert einstein did i would rather know  rather know how they built the pyramid  hey james brown  chuck d  and jimi turn me up louder now and i do not think y all hear me 2045  we will stay alive 2045  god is on our side the whole pop scenario is just nothin  but a dream the day you wake up is the day you get the real     a radical man who got the plan  who got the plan  radical man who got the plan  who got the plan  this is the funk the industry most fears all of us getting together in a locked board of directors i do not think so ai not nobody runnin  this it all about dna  the radical man where will you be in 2045  30 million people right now are being wiped off the face of the planet by a disease they claim has no cure in the matter of a blinking eye all of us right now can testify take a stand  radical man  oh","2045 radical man",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"19","prince miscellaneous 20th century express s s cry out in the dead of night  from the crack house across the street  u are comin  down with a sudden migraine  and here it is almost 3  next door they are fightin  again  somebody done somebody wrong  and some freak keeps calling up  want a quickie on the telephone  u try and try 2 close your eyes at night  but all u do is toss and turn until broad daylight  chorus   welcome aboard the 20th century express  welcome aboard the 20th century express  fast food chains keep popping up  everybody eatin  on the run  hamburgers  french fries  hurry please  but hold the indigestion  the rush hour traffic slows u down  as u race against the clock  but fasten your seatbelts everyone  there are no intermediate stops  u try and try 2 keep pace with the times  u try and get one step ahead  but u fall 2 steps behind  chorus  ooh yeah  all day  on rey  all say  i say  he say  ok  ok  x4   u try and try 2 close your eyes at night  but all u do is toss and turn until broad daylight  chorus  x2   running 2 the crack house  people gettin  sprung out  welcome aboard   welcome  welcome aboard the 20th century express   livin  in the fast lane  2 much cocaine  welcome aboard   welcome  welcome aboard the 20th century express   the world keep revolvin   and ai not nobody stoppin   welcome  oh yes   welcome  welcome aboard the 20th century express   welcome  welcome  welcome aboard the 20th century express  we are livin  2 fast  y all  babies makin  babies  hear   oh  welcome the 20th century express","20th century express",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"20","yeah  2gether your boy got popped in a drive by yesterday he will be lucky if he makes it through the night is what the doctors say you can take revenge or you can be the one to break the chain you look up in the sky for an answer and it starts to rain what are we if we are not 2gether  how do we make a life that better   yeah   cuz when we be killin  one another  take each other out  how do we  huh  how  call each other brother   mmm  check it  you tell me what the chance of a brother gettin  off the block  what the chance  not a   if all he wanna do is sell chicken wings and the rock  chicken wing and the rock  you can blame the system you can be the one to even the score  huh yeah  huh  you look up in the sky for an answer and it starts to pour  drop it  huh what are we if we are not 2gether  how do we make a life that better   yeah   cuz when we be killin  one another  take each other out  how do we  huh  how  call each other brother  you tell me  tell  em  why is slangin  them thangs  coppin  a stroll  flashin  a sign key topics on a young black mind   cuz it the picture that we give  em and they illustrate black on black genocide has started to escalate every brother ai not a brother  cuz o  color  this is true but i can still say to my brother   much love boo  please lord  give me the strength and make it quick  cuz my people will not take another nightstick  huh what are we if we are not 2gether  how do we make a life that better   and how do we  yeah   cuz when we be killin  one another  take each other out  how do we call each other brother   i do not know  you tell me yo  it simple from the old to the young to uplift we must give the gift gift of knowledge that is teach our young that all in life ai not fun and to make a life that better my people must stick 2gether the choice is yours what are we if we are not 2gether  how do we make a life that better   2gether   cuz when we be killin  one another how do we call each other brother  you tell me 2gether  2gether","2gether",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
