"","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"271","prince miscellaneous goangster glam boy  we gettin  ready 2 get funkier than a sack o grandaddies  1 2 1 2 3 heh heh  roll it  gett off   gangster   gett off   gangster   gett off  yeah  summertime  gangster   gett off   get on up and jam  well as i g e double t o f f  ganster glam in the house and i must confess  see that this is the   p  servin  them a new power soul 4 those who would ever try 2 rock the npg 4 those who are wondering  a family is born and god bless us cuz we are funky everything we do is on a positive tip and got a message 4 a sucker with lip tell  em  rosie  let a woman be a woman and man be a man  yeah  u tell  em  baby and as i put the mmm in man i am kickin  the gangster glam gangster  hahaha   gangster  gangster glam  gangster  i am kickin  the gangster glam gangster  gangster  gangster glam  get on up and jam  well as i g e double t o f f  ganster glam in the house  gangster  the style we are sportin   the ladies and the fellas  hmmm godfather iii meets barbarella hmm  u can believe  a gangster never thinks twice  gangster   gangster glam  what ya say fellas   gangster   get on up and jam  roll it gangster  gangster  gangster glam it summertime and i am rollin   get on up and jam  send the shout out  power 2 the people of m p l s   x4  send the shout out what my bmw definition   the black man wish  all the heads of the family  will fall when we drop this and the fact that we are funky will keep the jeeps boomin  4 the hip hop junkies  everybody grab a body  pump it like u want somebody   get get get get get get on up and jam  i am kickin  the gangster glam  everybody grab a body  pump it like u want somebody  and see u lipsynchin  suckers listen  we do not go 4 that and u can believe we are bringin  the live performance back  gangster  so do not u come 2 the concert 2night cuz we will send u home wishin  that u had came right mmm  clockin  the jizz  gettin  the bizz playin  strip pool with vanessa sweatin  in my typhoon  gangster   get get get get get get on up and jam  yeah  that my  wouldo  fool  gett off  gangster glam  get get get get get get on up and jam   it summertime and i am rollin   gett off  gangster  get get get get get get on up and jam   yeah  gett off  gangster glam  get get get get get get on up and jam   groovin  2 the gangster glam  with the fellas  gangster  the beamer   chiquita yellow clockin  all the jizz  get on up and jam  gangster  gangster  i love u yeah  i love u 2  i love u 2 gangster glam yeah  get on up and jam   if u think u are funky  are u funky   then come on and ride the donkey  then ride it  hahahaha gangster  gangster glam   everybody grab a body  pump it like u want somebody   get get get get get get on up and jam    how much money u got   gangster grands  gangster  groovin  2 the gangster glam gangster gangster glam groovin  2 the gangster glam  gangster   i like  em proud  groovin  2 the gangster groove groove groovin  2 the groovin  2 the gangster groove groove groovin  2 the groovin  2 the gangster groove groove groovin  2 the  get on up and jam  gangster groovin  2 the gangster glam  get on up and jam  n p g   n p g   who turn the   out   who turn the   out   n p g   n p g    gangster  who turn the   out   who turn the   out    crowd noise  gangster  jam  what we gonna do when we wanna get funky   x4   hold it  fred    aunt ester sample   x3   jam   x3   gangster   get on up and jam  what we gonna do when we wanna get funky   x2   gangster   gangster glam   gangster   get on up and jam  groovin  2 the gangster glam  gangster   gangster glam   gangster   get on up and jam  groovin  2 the gangster glam gangster  gett off   g g gett off ","goangster glam",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"272","in the beginning  there was god he made the earth  and the heaven he gave us light to rule the day and another light to rule the night the lord  thy god made  he made the seas he made the fruit upon the trees when he saw when he saw that it was good he made a man  made a man only he could  only he could god made you god made me too he made us all made us all equally now you say god made you god made me he made us all equally wake up children dance the dance electric there is not much time who s ed  was it you ","god",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"273","there a mountain and it mighty high you cannot see the top unless you fly and there a molehill of proven ground there ai not nowhere to go if you hang around everybody wants to sell what already been sold everybody wants to tell what already been told what the use of money if you ai not gonna break the mold  even at the center of fire there is cold all that glitters ai not gold all that glitters ai not gold  mm there an ocean of despair  there are people livin  there they are unhappy and each and every day but hell is not fashion  so what you tryin  to say  everybody wants to sell what already been sold everybody wants to tell what already been told what the use of money if you ai not gonna break the mold  even at the center of fire there is cold all that glitters ai not gold  no  no all that glitters ai not gold  no  no there a lady  99 years old if she led a good life  heaven takes her soul now  that a theory and if you do not wanna know step aside and make a way for those who want to go everybody wants to sell what already been sold everybody wants to tell what already been told what the use of bein  young if you ai not gonna get old  even at the center of fire there is cold all that glitters ai not gold  no  no  no  no  no all that glitters ai not gold  alright  all that glitters all that glitters  all that glitters ai not gold na na na  na na  na  na na  na na  gold  gold  gold  gold  na na na  na na  na  na na  na na  gold  gold  gold  gold  gold  gold  gold all that glitters ai not gold  gold  gold all that glitters ai not gold  gold  gold  na na na  na na  na  na na  na na  all that glitters ai not gold  gold  gold  na na na  na na  na  na na  na na  all that glitters ai not gold  oh  oh yeah one  two  one  two  three  let go na na na  na na  na  na na  na na na na na  na na  na  na na  na na na na na  na na  na  na na  na na  na na na  na na  na  na na  na na  you are now an official member of the new power generation welcome to the dawn  na na na  na na  na  na na  na na  all that glitters ai not  na na na  na na  na  na na  na na  all that glitters ai not  na na na  na na  na  na na  na na  all that glitters ai not    ","gold",1995,"The Gold Experience",10,"88","82","1990s","Top 10","Charted"
"274","please stop tony  i will spend the night with you on one condition what that  you gotta have me home before dawn  uh oh my papa a preacher  well he despises sweet talkin   fine dressin  dudes like you then that could be a problem why if he knew i missed sunday church on account of keepin  company with a brother like you why he would  what  he would  i do not know what he would do    but i surely do not wanna find out well  it on  you g on be naked gold a  we can turn this mutha out gold a  tell me what you are all about oh  my god  it is true gold a in the house  baby ooh  honey  one of us is gettin  saved tonight then rescue me  baby come here    yeah  tony  what  do you love me  you know it  uh  yeah would  would you marry me if i got in the family way  son of gold a  the sequel  you know that to  baby talk to me  baby tell me who in the   in  house ah  gold a  speak the english  baby tell me  what cha gonna do with your life  what cha mean  can you really say that you would help somebody  wait a minute or is this just a carnival ride  oh     what the fu    what good is a school  but ah if it filled with fools  shut up  shut up gold a  it so easy to love you but gold a  who do you love ","gold a pt 2",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"275","please stop tony  yo  what  what up     oh     a i have not see you since high school about 10 years  roy yeah  ah man  been here and there you lookin  good though man yeah  you too man  you lookin  hey yo  would you check this out  would you help a brother out  man  i am kinda in a spot  you know what i mean  ah man  i got little change what you need a little 10  15 or somethin   man got myself  yo  yo  actually  i could use a bone since you pullin  that out  you know yo man  i ai not seen you in about 10 years what up with that homeboy  yo  so as i fade i send a shout out to all my brothers lookin  for the hand out you know we gots to get paid but check it out ah  be your own man  yeah come on  ah  be your own man yeah  you got to be your own man  yeah","gold a pt 3",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"276","prince gold a gold a pt 1 hey  what up y all   npg in the house kickin  the gift  talkin  about us livin  in an incubated society  and ai not   changed in 20 years y all  we just in a state of sobriety  that right   this one is subject 2 justification  cuz we shootin  4 heads of state  hmph  and 2 my brothers and sisters strugglin  2 try and learn  do not be confused by the term     ahh  gold a   a term that might seem offensive 2 some  but one we have adapted   that means the money earned  by the knowledge and creative efforts of a black man  who can feel good cuz there no blood on his hands  in a time when respect is gotten  not from what a leader might say  but 9 m  glock 7 and ak  it a shame  but that the way it is  that the reality of things   our state of mind has been twisted  demented in the way that seems irreversible  2 much clout and status in the movers and shakers and people with pull  instead of leading  we are being led  by generations of punk  fu    yo tone  nuff said  yeah  u right  but i must speak on this  before me and my people die in this endless abyss  so as we go round and round in an attempt 2 get bigger  i send a shout out 2 all my fellow gold az  stay strong   chorus   gold a   we can turn this mutha out  gold a   tell me what u are all about  stay strong   gold a   we can turn this mutha out  gold a   tell me what u are all about  please  please stop    get up  stand up  stand up 4 your rights  cuz gold az do not go out without a fight  mentality 2 strong  we bring brothers who struggle along  nevermind preachin  about the prior things they had did wrong  cuz every new day is a fresh start  and i mean that   from the bottom of my heart  i place this burden on the shoulders with an upraisal in effect  it time we earn proper respect   please stop    sample repeats in bg   big up gold az  chorus   yeah   come on  come on    mmm  say it   we  we  we like it   u better stop   sample repeats 2 fade ","gold a pt1",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"277","prince gold a goldie parade u stick around  gold a  what u hear at our concert is the real thing   be your own man  endless abyss  what u hear at our concert is the real thing   do u love me   is this just a carnival ride   we go round and round  what u hear at      as we go round and round  u stick around  we got a caller on the line  caller  caller on the     hello  the land of a new power generation  who said that    playin  the music 4 your mind  your body and your soul  the land of a new power generation  u stick around  but remember i am the boss  can i get some help over here  another 30 seconds  have u ever heard a horn so nasty   gold a  incubated society  clean it up  boy   what u gonna do with your life   this is smooth   u stick around   what u hear at our concert is the real thing   and ai not   changed in 20 years  y all   what    what u hear at our concert is the real thing   2 all my fellow gold az  u stick around   what u hear at our concert is the real thing   instead of leading  we are being lead  but remember  i am the boss  caller  caller on the     hello  listen 2 the funky horn  y all  do u love me   gold a  playin  the music 4 your mind  your body and your soul  and ai not   changed in 20 years  y all  the land of a new power generation  we go round and round  do u love me   endless abyss  incubated society  is this just a carnival ride   the land of a new power generation  is this just a carnival ride   incubated society  the land of a new power generation  is this just a carnival ride   in  in  incubated society  gold a  be your own man  u stick around  but remember i am the boss  and i give all the orders  laughter ","goldies parade",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"278","prince miscellaneous good judy girlfriend all u need is judy  she good 4 u   u bad sister   james brown sample repeats in bg   how do i start off  what can i say   who makes u happy each and every day   who makes u happy each and every night   when we are 2gether  who makes things right   big words escape u when u think of me  no words can evaluate this mystery  u could be so tired  find it hard a walkin   but i could get u wired  get your body talkin   chorus   long as u got me  all things alright  it do not take a lot  see  and u are wound tight  in the middle of the day  babe  in the middle of the night  long as u got me  all things alright  there ai not no other junk that u wanna do  all u need is judy  she good 4 u  how simple can i make it  i just want u 2 take it  rattle  roll and shake it  judy gonna do ya  ooh  chorus","good judy girlfriend",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"279","the good life one day  that what i will be livin  fantasy never hurt nobody whatever chills the illin  when the everyday gets on your last one give it up and go to the place in everyone future the good life  one day  we will know  good life  everyday  after school you know where to find this brother uptown  at every movie show outta my life  to another that was the only thing that i wanted to do that was my drug of choice left all the funny smellin  cigarettes to the american boys  la dolce vita   was the knob that turned me on marcello mastroianni italian mac comin  on strong he had all the honeys  the kind from the magazines small waist  big right  biggest ones you have ever seen the good life  good life one day  that what i will be livin  fantasy never hurt nobody whatever chills the illin  when the everyday gets on your last one give it up and go to the place in everyone future the good life  one day we will know  one day we will know  good life   good life  mama worked all night went to school by day wanted to get her master degree so she could make a better way set examples for her babies that  we will never forget that where i guess my spirit comes from eternally never met oh  the good life  good life  one day  that what i will be livin  fantasy never hurt nobody whatever chills the illin   ooh  good life  when the everyday gets on your last one give it up and go to the place in everyone future  the good life  the good life  one day we will know  good life  good life  good life  good life  good life  hey  hey  hey peace to the   that knows that the babies are the key to the world  key to the world the battles of the future will be won by those who teach those baby boys and girls this is our plea to the brothers who are tired of the barely gettin  by instead  you should try to see your future map out your steps and make sure no one dies the good life  good  one day  that what i will be livin  fantasy never hurt nobody whatever chills the illin   one drop of blood ai not worth forsaking your dreams  when the everyday gets on your last one give it up and go  music  sports  fashion  whatever  to the place in everyone future the good life  one day we will know  consolidate  think ahead  and       the good life  good life  one day  that what i will be livin  fantasy never hurt nobody whatever chills the illin   hey yeah  good life  when the everyday gets on your last one give it up and go  good life  oh  to the place in everyone future the good life  one day we will know new power generation  good life  tryin  to lead the good life  one day we will know  oh yeah  oh lord  good life  good life  the good life  good life  good life  the good life  good life  good life  good life  one day  that what i will be livin  fantasy never hurt nobody whatever chills the illin  when the everyday gets on your last one give it up and go to the place in everyone future the good life  one day we will know good life  good life good life  good life  the good life  good life   good life   good life  one day we will know","good life",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"280","good love  you got a baby in the heat of the night you know what to do  good love you got a cherry pie  apple kisses everything is cool technicolor children in piccadilly square whisper words  erotica  when you kiss me there gustav mahler no  3 is jamming on the box i will have another glass of you  this time on the rocks 4th of july in every stroke a symphony of light and sound oh  i want to die from all the smoke fire breaks out when you are around good love  you got a  yeah baby  in the heat of the night you know what to do  good love you got a  yeah  cherry pie  apple kisses everything is cool it brings a flash to my heart just the thought of you plethora of euphoria in everything you do any place to zero  you are number one baby  in the heat of the night  you are my favorite fun you and i in each other arms  you and i  each other arms  here is another world  here i am protected  here i am protected from all harm only the naked  boy and girl good love  yeah baby  in the heat of the night you know what to do good love  yeah  ooh  cherry pie  apple kisses everything is cool  cool  cool  cool  alright  we gon  say good love right here  good love  yeah gustav mahler no 3 jamming on the box you wanna rock   why not    good love  yeah  yeah  yeah  oh baby  in the heat of the night you know what to do  do not cha  good love  yeah  yeah  yeah  cherry pie  apple kisses everything is cool  cool every little funky   thing is kickin   good love  oh my lord  oh my lord  my lord  my lord   good love  yeah  baby  you got the  you got the  you got the good love  yeah in the heat of the night you know it alright  yeah  good love  yeah good love  honey baby good love  yeah  yeah  yeah  yeah  cherry pie  apple kisses everything is cool  everything is cool cool come on that how i like it  come on technicolor junkie in a funky square  yeah  good love talkin  when you kissin  me there  yeah  gustav mahler jamming on the box  yeah  yeah  teenage junkie got his foot on the rock  get off you gotta  you gotta get good love good love you gotta  you gotta get good love yeah  good love","good love",1998,"Crystal Ball",NA,NA,NA,"1990s","Uncharted","Uncharted"
"281","prince miscellaneous good man i ai not like the rest  i am  accessible   one day u will see that i am the best   i am a super workin  man  mama   if i am good then u are  accessible   i am a good man   good man   x2   u walk around with your heart on the ground  u ai not got nobody and u are feelin  down  maybe u have been lookin  on the wrong side of town  listen     i have been workin  2 jobs just 2 make ends meet  2 u it might look like a dead end street  where little boys give up  a good man sticks around     yes he does   so if u are lookin  4 a good man  good man   a super workin  lover papa  a good man  good man   a money makin  real provider  then give up  your search is over  i am the man 4 u   good man   u are sick of talkin  2 men with no future   well  a trip around the world would suit u fine   true love  it do not cost nothin    true love do not cost nothin   just 2 hearts beatin  in time  oh  if u believe it  let me hear u say yeah  oh yeah  u got 2 give me a chance  get it on  if u believe it  let me hear u say yeah  oh yeah  and we can find romance  i got  i got  i got  i got some super workin  love 4 ya  and if it passion u are after  oh girl  i can do the do  do the do   do not let my dirty hands fool u  i ai not gonna stop until u beg me  beg me  beg me 2  my ride got a 12 cylinder that built 2 last  and if u let me love u baby  u will forget about your past  woman  i am a super workin  lover man  if u hear me rappin  2 u  tell me that u understand  every good woman wants a good man  let me hear u say yeah  oh yeah  u got 2 give me a chance  if u believe in love  let me hear u say yeah  oh yeah  we can find romance  y e s we can  every good woman needs a good man  a super workin  good lovin  papa  good   a long stridin   a real providin   good   money makin   clothes off takin  good man  good   think u know what i mean  a brother holding plenty of green   baby  here i am   baby  if u want my love  say yeah  oh yeah  good man   u got 2 give me a chance  y e s we can   every woman wants a good man   if u want my body  say yeah  oh yeah  good man   give me a chance  then u and me can be accessible   nuf said    good man   x2    i am a super workin  man  mama    good man ","good man",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"282","last night when i left you fast sleeping i should have contemplated suicide for the smile upon your face that well worth keeping by morning smears for every tear you cry i could manage a week or to without those kisses it would be hard but something tells me  i could try for that matter  whatever to make you reconsider is there truth when you make love to a lie  excuse me but is this really goodbye  why would i ever let you in this morning  why would i let you come inside my door  i should have known without that smile adorning your face  a kiss was not what you came for that when your hand reached out to touch me gently at least that how it happened in my mind for that matter  whatever to make you reconsider is there truth when you make love to a lie  excuse me but is this really goodbye  ca not begin to understand how i think about you  everything  everything i wanna do  i cannot do without you however wrong you want  i will be just please do not leave  please  do not leave  if it means this life without you  baby i swear i will spend it on my knees excuse me but is this really goodbye  last night when i left you i was so sure we would be together forever and for days and now my shade of blue could not get no bluer i do not even know what i did to make you go away i could possibly stage a front and play the cool one  cool one  heart in my hand tryin  to hold back every cry but who would applaud me when it you  my one and only who ever gave me a good reason not to die excuse me but is this really  goodbye  excuse me but is this really  goodbye  excuse me but is this really goodbye   goodbye  goodbye  goodbye  goodbye ","goodbye",1998,"Crystal Ball",NA,NA,NA,"1990s","Uncharted","Uncharted"
"283","i have gotta broken heart again  cause we are only supposed to be friends you see he stole my old lady away from me and now i am just as blue as i can be i have gotta broken heart again  cause i ai not got no money to spend you see i spend it all on long distance phone calls beggin  her to please come home  yeah e yeah oh yeah  it does not matter what i do i can not stop  thinking about you the little things you said  the things you do to me in bed oh baby  i can not get you out of my head oh  oh  gotta broken heart again  yeah this time it serious it feels just like the end  cause once your love has gone away there ai not nothing  nothing left to say","gotta broken heart again",1980,"Dirty Mind",NA,NA,NA,"1980s","Uncharted","Uncharted"
"284","sittin  outside your door  about to break down fourth time this week  somebody come around who it gonna be tonight  who the lucky man  where you get the attitude  i will never understand uh oh  here he comes now  so happy that he came hey  was it good boy  thoughts on  of her aim what goes on inside your head that makes you want to take them all to bed  gotta stop  gotta gotta stop  messin  about you know you gotta stop  gotta gotta stop  messin  about when i call you on the phone  you act so unconcerned  i wanna  i wanna get you all alone  ooh baby  to show you what i have learned why you need it all the time you will not give me some time  you give me anything  god you think you are too fine ca not u see  all i want is a little time i have been playing with my toy so much i am gonna go blind gotta stop  gotta gotta stop  messin  about you gotta stop  gotta gotta stop  messin  about gotta stop  gotta gotta stop  messin  about you gotta stop  gotta gotta stop  messin  about you gotta stop  gotta gotta stop  messin  about you do it too much you gotta stop  gotta gotta stop  messin  about stop","gotta stop",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"285","sittin  outside your door  about to break down fourth time this week  somebody come around who it gonna be tonight  who the lucky man  where you get the attitude  i will never understand here he comes now  so happy that he came was it good boy  thoughts on  of her aim what goes on inside your head that makes you want to take them all to bed  gotta stop  gotta  gotta stop  messin  about you know you gotta stop  gotta  gotta stop  messin  about when i call you on the phone  you act so unconcerned i wanna  i wanna get you all alone  baby  to show you what i have learned why you will not give me the time of day  you will not give me some time you will not give me anything  god  you think you are too fine ca not you see  all i want is a little time i have been playin  with my toy so much i am gonna go blind gotta stop  gotta gotta stop  messin  about you gotta stop  gotta  gotta stop  messin  about gotta stop  gotta gotta stop  messin  about you gotta stop  gotta  gotta stop  messin  about you gotta stop  gotta  gotta stop  messin  about  you do it too much you gotta stop  gotta  gotta stop  messin  about  stop","gotta stop messin about",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"286","sittin  outside your door about to break down fourth time this week somebody come around who it gonna be tonight  who the lucky man  where you get the attitude  i will never understand uh oh  here he comes now  so happy that he came hey  was it good boy  thoughts on  of her aim what goes on inside your head that makes you want to take them all to bed  gotta stop  gotta  gotta stop messin  about you know you gotta stop  gotta  gotta stop messin  about oh yeah when i call you on the phone  you act so unconcerned i wanna get you all alone  ooh baby  to show you what i have learned why you will not give me the time of day  you will not give me some time you will not give me anything  god  you think you are too fine ca not you see  all i want is a little time i have been playing with my toy so much i am gonna go blind gotta stop  gotta  gotta stop messin  about you gotta stop  gotta  gotta stop messin  about oh yeah gotta stop  gotta  gotta stop messin  about you gotta stop  gotta  gotta stop messin  about you gotta stop  gotta  gotta stop messin  about you do it too much you gotta stop  gotta  gotta stop messin  about oo  stop","gotta stop messin around",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"287","prince miscellaneous g spot  f  is 4 frustration  i am looking 4 what is not really there   i  is instigation  i am listening 2 the voice beneath my hair   n  is 4 the naked body  and 4 what my naked eye can see  chorus   g spot  g spot  where  oh where can u be    a  is 4 america  and 4 the things u read in magazines   l  is 4 location  i am a clock  the time is 9 15   l  is 4 the lust we share  we want 2 know that infamous pleasure  chorus   y  is 4 my yearning  i am burning into mystery  chorus  g spot  x3   ooh yeah  yeah  yeah  oh  oh lord","gspot",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"288","gettin  dirty at the club again usually around your waist like a chain  but then i got that call  so i jumped in my car i love you baby but not like i love my guitar not like i love my guitar  no you could not do it all by yourself you had to go and get somebody else you are high enough to call me but you can not reach the bar i love you baby but not like i love my guitar  no not like i love my guitar  oh yes  turn it up i tried to warn you that it hard to be a star especially when you are drivin  other people car would have gave you mine girl but you took it too far i love you baby but just not like i love my guitar not like i love my guitar i know you love me and you want to be friends and if you do not  at least you need to pretend we are still together even if we do not get that far i love you baby but not like i love this guitar i love you baby  i love you baby like i love my guitar i love you lady and i am wishing you well i will write a letter when i learn how to spell until that day you can go to i love you baby  you know the rest","guitar",2007,"Planet Earth",0,"-","-","2000s","Uncharted","Uncharted"
"289","missed you called you found you begged you convinced you saw you held you kissed you fondled you tempt you undress you smelled you wanted you asked you thanked you mounted you hurt you disappoint you   you had you","had u",1996,"Chaos and Disorder",NA,NA,NA,"1990s","Uncharted","Uncharted"
"290","say baby  the soup tastes kinda funny i do not know my skin crawling it feels strange is this the same soup as usual  i do not know it feels strange hallucination rain hallucination rain find another vein hallucination rain i think this is gonna be the big one this one gonna last five minutes or more this is gonna be the real one one that gonna make you look for the key to the door that leads to the alley where we did the last one this is gonna be fun did the last one this is gonna be fun did the last one this is gonna be fun did the last one this is gonna be fun this is gonna be the good one the one that makes all the books this is gonna be the only chance we get to redeem ourselves  i will confess if you do but here the hook are you ready  but here the hook are you ready  but here the hook are you ready  but here the hook are you ready  but here the hook are you ready  pain  pain sweet laceration pain  pain hallucination rain pain  pain sweet laceration pain  pain hallucination rain hallucination rain hallucination rain hallucination rain hallucination rain","hallucination rain",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"291","prince exodus halluctination rain say baby  this soup tastes kinda funny  i do not know  my skin crawling  it feels strange  is this the same soup as usual   mmm  i do not know  it feels strange  chorus   hallucination rain  hallucination rain  find another vein  hallucination rain  i think this is gonna be the big one  this one gonna last 5 minutes or more  this is gonna be the real one  one that gonna make u look 4 the key 2 the door  that leads 2 the alley where we did the last one  this is gonna be fun  x4   chorus  this is gonna be the good one  the one that makes all the books  this is gonna be the only chance we get 2 redeem ourselves  i will confess if u do  but here the hook  are u ready   x5   pain  pain   sweet laceration  pain  pain   hallucination rain  pain  pain   sweet laceration  pain  pain   hallucination rain  hallucination rain  x4 ","halluctination rain",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"292","prince miscellaneous happy birthday  mr  christian late in my early teenage  i was considered fast  while some of the girls were failing  i passed in every class  our principal name was christian and i played upon his fears  in exchange 4 my diploma  i loved him through the years  chorus   happy birthday mr  christian  what are we gonna do   u want a teenage past time  i want a love that true  a man in your position  u oughta be ashamed  happy birthday mr  christian  why can not u live up 2 your name   it was only the first semester but my body developed quick  compared 2 the size of my chest then  all the other girls looked sick  mr  christian stared at me always  desire turned 2 pain  i suggested we go 2 his office and that when the lunch bell rang  chorus  oh mr  christian  u are a bad boy  why that not a pencil     shame  oh mr  christian  u are a bad boy  why can not u live up 2 your name   we had our love down to an art form  each act was like scenes from a play  every act       with every lesson i gave him  mr  christian gave me an a  i graduated with honors  a riddle 2 everyone  everyone except christian  mr  christian and i  and our son  mr  christian  me and our son   chorus  repeat twice in bg   what are we gonna do   i want a love that true  u oughta be ashamed  why can not u live up 2 your name   what are we gonna do   no tengo tiempo para jugar  i have no time 2 play games   necesito un hombre verdadero  no metido  i need a real man  not a liar   always a man  t   s   que no te enteras  chaval  ok   u do not understand  boy  ok    qu   hacemos   what are we gonna do    habla fuerte que no te oigo   speak louder cuz i can not hear u    christian  christian  christian   oh mr  christian  u are a bad boy  christian  give me some horns  oh  i like it  christian   x4   happy birthday 2 u  happy birthday 2 u  happy birthday mr  christian  happy birthday 2 u  happy birthday  mr  christian","happy birthday mr christian",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"293","there nothing for the record and nothing to condemn it in between this waking life and rem but you walked into the party to tell me to live up to our dreams we  bout to get it started turn my guitar up so i can make this woman s   so i can make this woman s   it time to check your cell phone red bull and patr  n ai not no rapper tryna be a singer gonna make her moan sade and babyface r b ai not got no place put some hard rock on you better cover your ears cause you are about to hear a woman just s   s   she said if i do not ever get to kiss you i am really gonna make a scene i said   you just want me to be another rip in your jeans that when she ordered strawberries  chocolate and whipped   my     all turned up and this woman s ed  s ed  s ed  s ed  s ed she likes to party hard she a hardrocklover party hard she a hardrocklover now she likes to party hard she a hardrocklover party hard she a hardrocklover now party hard she a hardrocklover party hard she a hardrocklover now","hardrocklover",2015,"Hit n Run Phase One",NA,NA,NA,"2010s","Uncharted","Uncharted"
"294","prince one nite alone have a heart i heard the news from a friend of mine and urs she said the smell of missing me was coming from ur pores  she said i broke ur heart so bad i did not deserve u back but u do not have 2 have a heart 1st b4 u get it broken  do not u have 2 wanna tell the truth b4 a word is spooken  so what about the heartbreak  everybody had one c the fault of mine goes from l a  2 the streets of n y c  but i ai not cryin  about payments overdue i got some milk but no drop is spilled over things u put me thru ca not u c we are all just tryin     tryin  2 get this hustle on    lookin  4 the righteous 2 buy in    til we right everyone of the wrongs so what about the heartbreak  everybody had one c    have a heart","have a heart",2002,"One Nite Alone",NA,NA,NA,"2000s","Uncharted","Uncharted"
"295","i remember when i met you  baby you were on your way to be wed you were such a sexy thing i loved the way you walked the things  you said i was so non chalant i did not want you to be misled but i have gotta have you  baby i got to have you in my bed and you said  but i am just a virgin and i am on my way to be wed  but you are such a hunk so full of spunk i will give you head  til you are burning up head  til you get enough head  til your love is red head  love you  til you are dead you know you are good  girl i think you like to go down you would not have stopped but i  i came on wedding gown and you said   i must confess i wanna get undressed and go to bed  with that i jammed  you fool you married me instead now morning  noon  and night i give you head  til you are burning up head  til you get enough head  til your love is red head  love you  til you are dead ooh yeah  yeah  ooh yeah head  head  head  head  ooh head  til you are burning up head  til you get enough head  til your love is red head  love you  til you are dead head  head  head head  head head  head head  head","head",1980,"Dirty Mind",NA,NA,NA,"1980s","Uncharted","Uncharted"
"296","hello  hello  hello  hello hello  hello  hello  hello i tried to tell them that i did not want to sing but i would gladly write a song instead they said okay and everything was cool  til a camera tried to get in my bed hello  my bed  hello  hello i was sittin  pretty with a beautiful friend when this man tries to get in the car no introduction   how you been   just  up yours  smile  that right  you are a star   you call  em bodyguards but i call  em my friends i guess i am used to havin   em around and cameras by nature like rewards that the trouble i get when i am uptown i am not afraid to die  do not be afraid  oh no  there a better place   cause there a better place to go  i eat what i want  you can eat what you want whole wheat toast  anything is cool in moderation  and i am happy  and that for sure we are against hungry children our record stands tall there just as much hunger here at home we will do what we can if y all try and understand a flower that has water will grow and the child misunderstood will go hello hello hello hello everybody  we are against hungry children our record stands tall there just as much hunger here at home we will do what we can if y all try and understand a flower that has water will grow and the child misunderstood will go our record stands tall  you know give us time and love will show hello hello hello","hello",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"297","how beautiful r u  there more than a thousand replies could it b ur lips or ur golden eyes  when eye think of an answer that when eye get so surprised another wonder of the world realized that y eye just do not want you here eye just do not want you near me baby cuz eye am scared eye will cry and live you like crazy flying above all fears eye have not seen any tears  not lately eye do not wanna land not even maybe how desperate am eye  eye wonder if you r what keeps me alive alone eye can not get as high even tho eye have tried it different when u are grown the wine do not taste the same when u are alone the size of the bed now seems like the biggest that eye have ever known  chorus  there so much more 4 you and me 2 explore ooh baby baby when you walk thru that door eye am gonna give you what u are waiting 4 baby lemme break this down eye am gonna say this once then eye am gonna leave this town if you can learn 2 open ur eyes under water then you and me will not drown without each other eue promise i will see you on the other side just believe in me and trust this ride eye am so sincere right now eye just    eye just want you here eye just want you near me baby eye am scared eye will cry and love you like crazy eye am flying above all fears eye have not seen any tears not lately  no eye do not wanna land  not even maybe donny hathaway  song 4 u  ai not the same without you here","here",2009,"MPLSoUND",NA,NA,NA,"2000s","Uncharted","Uncharted"
